iter	RMSE
0	0.408342022
1	0.3755902344
2	0.3442068393
3	0.3135476083
4	0.2872661945
5	0.2640458029
6	0.2435090242
7	0.2239164903
8	0.2067699519
9	0.190512388
10	0.1744905355
11	0.1606493714
12	0.1506940248
13	0.1396474024
14	0.1311376452
15	0.1228845545
16	0.1136348326
17	0.1053586682
18	0.09779628479
19	0.09161019031
20	0.08576219023
21	0.08047727002
22	0.07551938042
23	0.07050580166
24	0.06632172997
25	0.06199800431
26	0.05855732139
27	0.0555978016
28	0.05275354455
29	0.04969438556
30	0.04738952649
31	0.04513387311
32	0.04327857265
33	0.04134173066
34	0.03948640239
35	0.03811280856
36	0.03652771901
37	0.03525798798
38	0.03399733297
39	0.03274106046
40	0.03159662254
41	0.03049641789
42	0.02964450385
43	0.02881823669
44	0.02815737904
45	0.02758042549
46	0.02693177315
47	0.02631632524
48	0.02587970088
49	0.02537206882
50	0.02484858514
51	0.02438025831
52	0.02397880934
53	0.02364476818
54	0.02332971968
55	0.02295806487
56	0.02246314075
57	0.02214805344
58	0.02191104887
59	0.02166538123
60	0.02145780338
61	0.02122846603
62	0.02098941293
63	0.02085888328
64	0.02068210844
65	0.0205248887
66	0.0203311759
67	0.02015745371
68	0.02003313631
69	0.01986160639
70	0.0196127202
71	0.01937324633
72	0.01915288996
73	0.01897482836
74	0.01868971721
75	0.0185123873
76	0.01834366368
77	0.01829007282
78	0.01819798037
79	0.0181054276
80	0.01801312707
81	0.01797245454
82	0.01785014477
83	0.01781745692
84	0.01778623463
85	0.01759832892
86	0.01757504515
87	0.01748421466
88	0.01737954045
89	0.01729450015
90	0.0172383925
91	0.01721328982
92	0.01710888403
93	0.01689157949
94	0.01680852376
95	0.01678825977
96	0.01674556346
97	0.01669439604
98	0.01667532221
99	0.01658480097
100	0.01656624216
101	0.01648241432
102	0.01635422547
103	0.01607738214
104	0.0159912178
105	0.01586420193
106	0.01569134091
107	0.01563321299
108	0.01556836684
109	0.0155298517
110	0.01539167757
111	0.01537238427
112	0.01533347763
113	0.01528472025
114	0.01509691098
115	0.01508548346
116	0.01499817062
117	0.01497309625
118	0.01488757654
119	0.01486918532
120	0.01485579918
121	0.0148476941
122	0.01467402147
123	0.01449861225
124	0.01448782228
125	0.01443137252
126	0.01428402756
127	0.01420930706
128	0.01411974007
129	0.01402721897
130	0.01392117699
131	0.01387453511
132	0.01383515023
133	0.01382625378
134	0.01382029882
135	0.01374922599
136	0.01366234537
137	0.01363097484
138	0.01352325222
139	0.0134677757
140	0.01340988753
141	0.0132933351
142	0.01328672698
143	0.0132526424
144	0.01324637495
145	0.01321820027
146	0.01321442672
147	0.01314522207
148	0.01308042411
149	0.01303948853
150	0.01299249967
151	0.01298800921
152	0.01293179929
153	0.01285112905
154	0.01276510807
155	0.01270951618
156	0.01270468999
157	0.01264390744
158	0.01253177984
159	0.0124671084
160	0.01237673265
161	0.01237311334
162	0.01231030156
163	0.01224588207
164	0.0121463109
165	0.01203455594
166	0.01201669167
167	0.01199750031
168	0.01196961595
169	0.01190694211
170	0.01181513849
171	0.01176292692
172	0.01175931492
173	0.01170678581
174	0.0116489212
175	0.01159344086
176	0.01151546055
177	0.01151255391
178	0.0114428949
179	0.01140346662
180	0.01131075857
181	0.01124573652
182	0.01119254495
183	0.01111798439
184	0.01107389224
185	0.01107061638
186	0.01106659694
187	0.01100429916
188	0.01096686919
189	0.01094292866
190	0.01089569276
191	0.0108300542
192	0.01077706449
193	0.01073093084
194	0.01067843067
195	0.01061738938
196	0.01057319338
197	0.01051234007
198	0.01046662846
199	0.01044186134
